detail_link,thumbnail,title,field,institution,satisfaction,language
https://www.kmooc.kr/view/course/detail/13317,https://lms.kmooc.kr/pluginfile.php/3185706/course/overviewfiles/%EC%8B%AC%ED%99%94%EA%B3%BC%EC%A0%95_%EB%B3%B4%EC%95%88.jpg,(심화)클라우드 보안 엔지니어 양성과정,공학 (컴퓨터 · 통신),IGM세계경영연구원,4.7,한국어(ko)
https://www.kmooc.kr/view/course/detail/13316,https://lms.kmooc.kr/pluginfile.php/3185696/course/overviewfiles/%EC%8B%AC%ED%99%94%EA%B3%BC%EC%A0%95_%EC%9D%B8%ED%94%84%EB%9D%BC.jpg,(심화)클라우드 인프라 아키텍처 양성과정,공학 (컴퓨터 · 통신),IGM세계경영연구원,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13315,https://lms.kmooc.kr/pluginfile.php/3185684/course/overviewfiles/%EC%8B%AC%ED%99%94%EA%B3%BC%EC%A0%95_db.jpg,(심화)클라우드 DB 솔루션아키텍트 양성과정,공학 (컴퓨터 · 통신),IGM세계경영연구원,4.6,한국어(ko)
https://www.kmooc.kr/view/course/detail/13314,https://lms.kmooc.kr/pluginfile.php/3185663/course/overviewfiles/%EC%8B%AC%ED%99%94%EA%B3%BC%EC%A0%95_%EC%96%B4%ED%94%8C%EB%A6%AC.jpg,(심화)클라우드 Application Developer 양성과정,공학 (컴퓨터 · 통신),IGM세계경영연구원,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14206,https://lms.kmooc.kr/pluginfile.php/3312923/course/overviewfiles_thumbnail/courseoverviews_thumbnail.png,드론 코딩 심화과정,공학 (컴퓨터 · 통신),동서울대학교,4.4,한국어(ko)
https://www.kmooc.kr/view/course/detail/13846,https://lms.kmooc.kr/pluginfile.php/3252090/course/overviewfiles/1_%EB%94%94%EC%A7%80%ED%84%B8-%ED%8A%B8%EC%9C%88-%EA%B5%AC%EC%B6%95_255_150_.jpg,가상현실 심화교육과정 (디지털 트윈),공학 (컴퓨터 · 통신),건솔루션(주),0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13847,https://lms.kmooc.kr/pluginfile.php/3252104/course/overviewfiles/1_AI%EC%95%8C%EA%B3%A0%EB%A6%AC%EC%A6%98-%EC%9D%91%EC%9A%A9_255_150_.jpg,"데이터 사이언스 심화교육과정 (전처리, 머신러닝, 딥러닝)",공학 (컴퓨터 · 통신),건솔루션(주),0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/13845,https://lms.kmooc.kr/pluginfile.php/3252079/course/overviewfiles/1_%EB%94%94%EC%A7%80%ED%84%B8-%ED%8A%B8%EC%9C%88%EC%9D%84-%EC%9C%84%ED%95%9C-DB-%EA%B0%9C%EB%B0%9C_255_150_.jpg,IIoT구축 심화교육과정,공학 (컴퓨터 · 통신),건솔루션(주),0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14260,https://lms.kmooc.kr/pluginfile.php/3330199/course/overviewfiles/KakaoTalk_20240510_112158403.png,기계 학습 기반의 데이터 공학,공학 (컴퓨터 · 통신),상명대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14268,https://lms.kmooc.kr/pluginfile.php/3332777/course/overviewfiles/K-MOOC%20%EC%8B%A4%EA%B0%90%ED%98%95%20%ED%97%AC%EC%8A%A4%EC%BC%80%EC%96%B4%20%EC%BD%98%ED%85%90%EC%B8%A0%20%EC%A0%9C%EC%9E%91%20%EB%B0%8F%20%EC%8B%A4%EC%8A%B5%20%EC%8D%B8%EB%84%A4%EC%9D%BC.PNG,실감형 헬스케어 콘텐츠 제작 및 실습,공학 (컴퓨터 · 통신),한국연구재단 산업교육센터,0.0,한국어(ko)
